"prog","comp","io","tree","comm","gath"
15.720933,13.159260,0.000000,0.191953,1.200181,0.016043
15.913821,13.154744,0.000000,0.192767,1.187451,0.016075
15.929864,13.127602,0.000000,0.191537,1.204378,0.016295
15.945046,13.153767,0.000000,0.191530,1.206847,0.015490
15.797705,13.135128,0.000000,0.191422,1.186620,0.015775
15.826030,13.081012,0.000000,0.204319,1.169624,0.015779
15.826091,13.128163,0.000000,0.191482,1.175406,0.015173
15.890240,13.136994,0.000000,0.191971,1.219819,0.015832
15.736912,13.146184,0.000000,0.191065,1.167095,0.015918
15.793809,13.092871,0.000000,0.190994,1.180166,0.014549
15.750684,13.120859,0.000000,0.191234,1.209732,0.015334
15.798896,13.135043,0.000000,0.190834,1.162262,0.015201
15.728404,13.129410,0.000000,0.191017,1.188636,0.015755
15.753072,13.164542,0.000000,0.205002,1.168882,0.015812
15.818857,13.166313,0.000000,0.205799,1.207165,0.015027
15.772853,13.127904,0.000000,0.205783,1.211562,0.014073
15.797071,13.106963,0.000000,0.191458,1.180006,0.014940
15.953085,13.165287,0.000000,0.191640,1.173941,0.016193
16.026960,13.154859,0.000000,0.190461,1.191426,0.015646
15.763736,13.103598,0.000000,0.191806,1.199637,0.015762
15.802574,13.158892,0.000000,0.203099,1.161715,0.016227
15.746428,13.155214,0.000000,0.191482,1.173607,0.015916
15.804812,13.161755,0.000000,0.191102,1.153393,0.015930
15.765268,13.137866,0.000000,0.191385,1.185299,0.014830
15.969337,13.126298,0.000000,0.192986,1.163152,0.015562
15.763659,13.108419,0.000000,0.192049,1.187554,0.015404
15.801087,13.138000,0.000000,0.192153,1.199477,0.015685
15.776643,13.184702,0.000000,0.190566,1.182012,0.015080
15.811457,13.184349,0.000000,0.191953,1.200424,0.015913
15.782645,13.154889,0.000000,0.191355,1.220241,0.015914
15.767942,13.110385,0.000000,0.203672,1.190956,0.015046
15.763635,13.111864,0.000000,0.191169,1.174245,0.015834
15.871580,13.138272,0.000000,0.204523,1.212159,0.015988
15.883536,13.136146,0.000000,0.190284,1.185792,0.015766
15.912077,13.176074,0.000000,0.192489,1.187774,0.015485
15.768850,13.166300,0.000000,0.206645,1.185593,0.016165
15.844177,13.131759,0.000000,0.191364,1.166742,0.016039
15.950130,13.198708,0.000000,0.202465,1.188023,0.015773
15.928980,13.173717,0.000000,0.204857,1.197566,0.015950
15.692242,13.136723,0.000000,0.192015,1.177358,0.015901
15.957945,13.374496,0.000000,0.191433,1.164606,0.015347
15.876962,13.132777,0.000000,0.191289,1.170001,0.015509
15.786456,13.179539,0.000000,0.193349,1.194176,0.014978
15.865119,13.149092,0.000000,0.191197,1.190406,0.014456
15.802659,13.131370,0.000000,0.190799,1.200912,0.015370
15.794775,13.158019,0.000000,0.191314,1.169268,0.015948
15.847936,13.228485,0.000000,0.191264,1.140850,0.015033
16.130629,13.218072,0.000000,0.191654,1.211384,0.014474
15.826667,13.151174,0.000000,0.205108,1.197619,0.015571
15.831246,13.125674,0.000000,0.191563,1.180903,0.015984
