"prog","comp","io","tree","comm","gath"
65.507124,50.740646,0.142673,0.114051,6.241031,0.201335
65.516748,50.369277,0.142351,0.112245,6.202925,0.200582
65.056779,50.600284,0.145576,0.115027,6.264177,0.200243
65.005479,50.523752,0.143102,0.116107,6.156390,0.202278
65.100318,50.334417,0.143396,0.114206,6.340460,0.203545
64.796120,50.286585,0.143673,0.112210,5.991137,0.203006
65.000937,50.076533,0.142290,0.112435,6.184780,0.201603
65.133425,50.485064,0.144139,0.115427,5.922520,0.200082
65.006151,50.260828,0.142565,0.111925,5.793579,0.204569
64.812998,50.422850,0.142856,0.113253,5.798932,0.200422
65.379730,51.013160,0.142561,0.115549,5.699449,0.203885
65.739111,51.096708,0.143235,0.113200,6.234831,0.198808
65.096652,50.498726,0.144402,0.114814,6.327788,0.202158
64.900764,50.300499,0.143255,0.113463,6.168984,0.201088
64.754132,50.213368,0.143426,0.113499,6.037538,0.200888
65.134078,50.359085,0.143495,0.112093,5.919300,0.199327
64.714911,50.230851,0.143483,0.114034,5.860316,0.203998
64.986010,50.437438,0.142728,0.113293,5.728262,0.200570
64.803812,50.146061,0.143451,0.115993,5.947463,0.200616
65.084087,50.282549,0.143286,0.112527,5.797962,0.199934
65.331673,50.634298,0.144214,0.113681,6.046816,0.200642
65.051955,50.459383,0.143184,0.114215,6.455391,0.201576
64.807350,50.427067,0.142964,0.112876,6.263041,0.200482
64.858641,50.200684,0.142797,0.112699,6.140327,0.200689
65.026038,50.387401,0.142661,0.112722,5.879020,0.200465
64.783037,50.323912,0.143763,0.112492,6.341068,0.199293
64.833664,50.363851,0.148967,0.113744,5.558071,0.199938
65.118403,50.573926,0.142864,0.115161,6.446571,0.201447
64.997325,50.597029,0.143142,0.114354,5.875472,0.200519
65.553833,50.517572,0.142921,0.114485,6.879763,0.200088
64.779905,50.398480,0.143083,0.115120,6.100360,0.201231
65.148990,50.507975,0.143800,0.114535,6.266019,0.203030
65.091354,50.246991,0.142518,0.113695,6.306522,0.200343
64.983309,50.535801,0.143713,0.113124,6.505846,0.203104
64.854359,50.369523,0.143007,0.114290,6.649860,0.200925
65.098476,50.450475,0.143004,0.113623,6.454971,0.200313
64.920859,50.407917,0.143284,0.114953,5.737693,0.201574
64.970632,50.435331,0.143286,0.115681,6.146634,0.202196
65.247618,50.861281,0.143023,0.112977,6.375475,0.200136
65.168465,50.477150,0.143302,0.111562,5.493846,0.198676
65.002319,50.177743,0.143152,0.114141,6.192441,0.199819
65.044708,50.279133,0.143169,0.115269,5.852086,0.206148
65.308234,50.663485,0.142710,0.115799,6.050527,0.197634
65.327128,50.971492,0.142589,0.111953,6.362098,0.199482
64.926893,50.397897,0.143225,0.113761,6.730375,0.200475
65.100282,50.386285,0.142957,0.114069,6.039146,0.197525
65.462521,50.709024,0.142929,0.113964,6.370518,0.200840
64.884595,50.202658,0.143276,0.115158,5.598610,0.201636
65.349865,50.412848,0.142662,0.114667,5.655713,0.201268
65.104014,50.520977,0.142772,0.110552,6.023912,0.200171
