"prog","comp","io","tree","comm","gath"
24.346072,13.513231,0.000000,0.112496,6.641615,0.030157
24.035632,13.456098,0.000000,0.121005,6.820979,0.032554
24.396010,13.461107,0.000000,0.115627,6.905030,0.030385
24.045755,13.474874,0.000000,0.121451,6.808763,0.034235
24.517153,13.445764,0.000000,0.120358,6.900439,0.032130
24.820669,13.426442,0.000000,0.119363,6.698401,0.032417
23.934556,13.359635,0.000000,0.118294,6.834467,0.039180
24.304575,13.368171,0.000000,0.121585,6.601206,0.032182
24.343633,13.507977,0.000000,0.119491,6.752198,0.032702
24.239450,13.386386,0.000000,0.119135,6.812740,0.030452
24.925751,13.500596,0.000000,0.120707,6.567578,0.032014
24.095481,13.471539,0.000000,0.120536,6.772426,0.032690
24.198969,13.341545,0.000000,0.117579,6.862759,0.037521
23.961982,13.501557,0.000000,0.120520,6.752273,0.033360
24.077875,13.402787,0.000000,0.120199,6.744124,0.029657
24.608848,13.417904,0.000000,0.121248,6.817063,0.033432
24.626057,13.492922,0.000000,0.122965,6.873128,0.032319
24.057050,13.501666,0.000000,0.121791,6.766329,0.034790
24.119657,13.461110,0.000000,0.119463,6.689293,0.040111
24.070978,13.479522,0.000000,0.119394,6.680651,0.027116
24.204509,13.534075,0.000000,0.118116,6.554118,0.030304
24.576498,13.500873,0.000000,0.121248,6.828403,0.030974
24.253712,13.384752,0.000000,0.121097,6.892718,0.031349
24.146318,13.386362,0.000000,0.119905,6.811598,0.031822
24.089917,13.429526,0.000000,0.120798,6.561870,0.039164
24.330992,13.463629,0.000000,0.121530,6.695724,0.035097
24.080197,13.644582,0.000000,0.119561,6.641737,0.028848
24.812072,13.460380,0.000000,0.119403,6.533752,0.031712
24.366545,13.442622,0.000000,0.120673,6.701508,0.029028
24.631608,13.583047,0.000000,0.120002,6.789397,0.030326
24.273049,13.447991,0.000000,0.119077,6.838203,0.033528
24.019050,13.369508,0.000000,0.120214,6.755834,0.034224
24.212484,13.354131,0.000000,0.119288,6.883434,0.030697
24.304766,13.454074,0.000000,0.115427,6.721056,0.036382
24.152697,13.445602,0.000000,0.119993,6.705109,0.035572
24.428161,13.433029,0.000000,0.120437,6.516152,0.032523
24.279948,13.411969,0.000000,0.120256,6.819696,0.036211
24.941857,13.525644,0.000000,0.117210,6.791405,0.038599
24.412389,13.556933,0.000000,0.120974,6.835074,0.028618
24.185672,13.365157,0.000000,0.121906,6.631956,0.034668
23.959852,13.406931,0.000000,0.119922,6.665359,0.033030
24.863832,13.416446,0.000000,0.121742,6.606368,0.033627
24.514135,13.471041,0.000000,0.121410,6.755770,0.027442
24.066874,13.410364,0.000000,0.119209,6.872043,0.028621
24.252010,13.532249,0.000000,0.123243,6.793611,0.032911
24.091070,13.477364,0.000000,0.118848,6.744124,0.033403
24.196384,13.449950,0.000000,0.120664,6.620124,0.029848
24.418027,13.374838,0.000000,0.118177,6.792226,0.031310
24.133975,13.523680,0.000000,0.120388,6.718985,0.028834
24.495317,13.537540,0.000000,0.123196,6.736683,0.029502
