"prog","comp","io","tree","comm","gath"
118.804272,100.575621,0.000000,0.300232,6.682629,0.046797
119.038366,100.724825,0.000000,0.386180,6.775902,0.047265
118.872868,100.466417,0.000000,0.390939,6.758991,0.047101
118.387918,100.135759,0.000000,0.394368,6.663687,0.046018
118.649722,100.639093,0.000000,0.397280,6.756148,0.047682
119.330028,100.714397,0.000000,0.299461,6.634234,0.046795
119.061108,100.440525,0.000000,0.297594,6.835783,0.047192
118.671778,100.374707,0.000000,0.298652,6.901486,0.046191
119.299274,101.102845,0.000000,0.291765,6.645216,0.047018
119.067296,99.962915,0.000000,0.294273,6.830882,0.047064
118.910592,100.740178,0.000000,0.388175,6.815236,0.047257
119.276634,101.217941,0.000000,0.286971,6.725670,0.047016
118.802371,100.082884,0.000000,0.295633,6.793956,0.047455
118.849760,100.498935,0.000000,0.292728,6.781059,0.046592
118.395061,101.047160,0.000000,0.295852,6.238838,0.047060
119.709646,100.416700,0.000000,0.391430,6.757933,0.046958
118.896110,100.593754,0.000000,0.389580,6.836261,0.048438
119.008238,101.003212,0.000000,0.395702,6.841416,0.046400
118.761212,100.404442,0.000000,0.297408,6.673354,0.046885
119.244964,100.632321,0.000000,0.297499,6.784665,0.047126
118.777941,100.621062,0.000000,0.300342,6.702407,0.047022
118.588308,101.327750,0.000000,0.297725,6.655110,0.047309
118.879319,100.295396,0.000000,0.292481,6.760116,0.047418
118.721980,100.538029,0.000000,0.305348,6.869323,0.047473
118.714220,100.775372,0.000000,0.394539,6.820683,0.047290
118.856852,100.491703,0.000000,0.298261,6.727278,0.047823
119.785638,100.819608,0.000000,0.299468,6.801378,0.047377
119.368819,100.334372,0.000000,0.292175,6.773894,0.047075
119.325443,100.183403,0.000000,0.390445,6.791535,0.047704
118.141561,100.101136,0.000000,0.385949,6.422524,0.047379
119.822677,100.982369,0.000000,0.290439,6.837742,0.047533
120.086683,100.924628,0.000000,0.390923,6.781943,0.047710
119.409059,100.599645,0.000000,0.388979,6.744870,0.047537
118.722097,100.596004,0.000000,0.394052,6.842166,0.047616
119.356474,100.400573,0.000000,0.298604,6.772984,0.047753
119.216832,101.068133,0.000000,0.295252,6.819083,0.047322
118.781261,101.014438,0.000000,0.294745,6.795566,0.047393
118.710451,100.635092,0.000000,0.298466,6.740363,0.047012
118.589769,100.437693,0.000000,0.294627,6.801534,0.047903
118.390016,101.842508,0.000000,0.293477,6.306879,0.047485
118.986546,101.878897,0.000000,0.299320,6.815226,0.047704
118.985027,100.467006,0.000000,0.301718,6.874819,0.047654
118.925390,100.278556,0.000000,0.299623,6.703591,0.047244
118.859144,100.854529,0.000000,0.296598,6.815273,0.047776
118.863706,100.945168,0.000000,0.391484,6.774855,0.047291
119.377646,101.234694,0.000000,0.390195,6.702545,0.047806
118.894715,100.522106,0.000000,0.388024,6.859471,0.048103
119.490275,100.650838,0.000000,0.311399,6.719867,0.047102
119.027764,100.553654,0.000000,0.398491,6.708327,0.047459
118.623880,100.722731,0.000000,0.296690,6.806509,0.047131
